rating,date,content
2.5,2026-03-27,배우들 연기는 지리지만 그 이상 없다
3.0,2026-03-25,난 괜춘
4.0,2026-03-25,마냥 어린 아이가 무슨 죄가 있길래 그런 일들을 겪었을까 ...
3.0,2026-03-24,"관객수 1300만이 넘었다는 소식을 듣고 관람하였으나 돌아오는 길 택시기사도, 아들도 보지 않았다. 소외된 역사적 인물과 영화적 상상력을 아주 영리하게 잘 버무렸다."
2.5,2026-03-24,평론가병 걸린게 아니고 그냥 재미가 없는 걸 어떡함
5.0,2026-03-24,외롭고 악하고 의롭다
4.5,2026-03-22,연시은을 잊게 할 정도의 연기력
3.5,2026-03-22,3.5/5
3.0,2026-03-22,"전개가 아쉬웠지만 두 주연의 연기만으로 이 영화 끌고가는 게 크
마지막 씬은 '미스터선샤인' 마지막 기차씬의 이병헌이 떠오르는 연기였다
이런 사극 감정 느끼고 싶다면  '천문'강추"
0.5,2026-03-22,"이상하리만큼 한국 여자들이 좋아 죽는다, 안보는걸 추천한다"
3.0,2026-03-22,"유해진의 눈물과 박지훈의 눈빛이 모든 아쉬움을 집어삼키고, 역사가 가진 힘과 보편적 위로를 남긴다."
1.5,2026-03-22,"혼신의 연기를 비웃는 듯한, 낡고 고리타분한 영화의 뼈대."
4.0,2026-03-22,CG얘기가 많아서 걱정 좀 하고 봤는데 CG가 그렇게 막 거슬리지는 않음. 내용이랑 별로 연관도 없음. 역사적인 스토리를 알고 봐도 가슴이 미어지는 내용이였음
5.0,2026-03-21,감동 인생작입니다
2.0,2026-03-21,"시기를 놓쳤고, 시기를 잡았다"
3.0,2026-03-21,할 수 있는 것을 할 수 있는 만큼 해냈다. 그렇게만 해내면 기꺼이 박수 받을 수 있다.
5.0,2026-03-21,"배우들의 연기가 진짜 최고였어요~~ 
오랜만에 눈물 콧물 다 짜고 본 영화입니다..
n번째 봐도 감동이네요"
3.0,2026-03-21,뻔한 스토리의 나를 사지못한 영화
3.0,2026-03-21,"눈시울을 붉히기에 충분했던 그 눈빛, 그 온기."
3.0,2026-03-20,울기보단 웃었다
3.5,2026-03-20,"배우들 연기는 최고였는데, 엄흥도와 이홍위의 감정선이 좀 부족했던 느낌?

그리고 뭔가 더 킥이 더 있었을 줄 알았는데, 하나밖에 없었던 게 아쉬웠음

아,, 한명회가 이수지 닮았는 거 듣고 봐서 그런가 진지한 부분에서 너무 힘들었음

- 네 이놈!!"
3.0,2026-03-20,한정판 밤티 호랑이 joat
3.5,2026-03-20,배우들의 연기력이 영화를 이끌어 갔다
2.0,2026-03-20,나오려던 눈물이 쏙 들어가는 허망한 연출. 배우들의 열연을 넘어선 묘기에 가까운 연기가 모든 씬을 이끌어 간다.
2.5,2026-03-19,잘 봐줘야 평작. 관람객기록은 감독님의 운이자 복이다.
2.5,2026-03-19,"소재의 힘과 시기의 마법, 될 영화는 하늘이 돕는다."
