rating,date,content
4.0,2025.06.08,"대기 줄이 좀 길긴 했지만 생각보다 빨리 빠집니다.  
새기치 하는 개/돼지들도 있으니 잘 보시기 바랍니다. 
직원들이 군데군데 서서 관리를 해줘 크게 신경 쓰지 않아도 되긴 합니다.  주차장은 우리들 주차장이 괜찮습니다.  접기"
5.0,2025.06.04,"개맛있음 진짜 1박2일동안 두번 방문
밑에 4개는 다 다른 건물에 위치해있음!!! 참고참고

- 케이크부띠크: 망고롤 꼭 사셈!! 망고시루보다 부드럽고 맛남. 가격도 18000원이라 저렴한데 풍족함
- 케이크(부띠크 옆 건물에 따로 있음): 망고시루도 존맛탱. 망고가 통으로 옆면에 썰려 들어감.
- 샌드위치정거장: 애플잠봉샌드위치 개인적으로 모든 카테고리 다 통틀어서 젤 맛있다. 야끼소바빵도 추천.
- 빵집: 명란바게트>부추빵>보문산메아리>튀소 종류 순으로 맛있음

꼭 사야할 세가지만 고르라면
애플잠봉, 망고롤, 명란바게트 추천드립니다!!!!

-이상 성심당 수십번 이상 먹어본 닝겐- 접기"
5.0,2025.06.04,"말해뭐해요 가성비좋고 맛도 좋습니다.
하지만 수많은 인파로 구매자체가 어렵습니다."
5.0,2025.05.19,"주차하기 어렵긴한데
가성비가 어마어마"
3.0,2025.05.11,케이크만 파는 곳이랑 너무 헷갈리네요..토요일 오전 8시 반쯤 가니 줄은 안 서고 들어갔습니다
5.0,2025.05.11,"매번 대전 방문하면 꼭 들리는 가성비 빵 맛집 ><
갈때마다 사람 속에서 빵 고르는게 힘들지만 그만큼 가성비와 맛 모두 충족하는 빵 맛집, 최근에 샌드위치 정거장이 따로 생겨서 복잡함이 좀 덜해짐, 애플브리치즈 샌드위치 꼭 먹기!!!!! 존맛탱 접기"
5.0,2025.05.06,"좋은재료로 정직하게 판매한다는게 느껴져요! 빵이 엄청 특별하게 맛있다기보다는 평범한데, 빵 자체가 양이 많고 재료도 푸짐하고, 신제품이 잘 나오는점, 그리고 바르고 곧은 경영이념이 인기비결이지 않을까 싶습니다. 그리도 빵을 제법 많이 담았는데 2만원대인게 충격이었어요...! 그리고 직원분들 모두 매우 친절하십니다. 아쉬운점은 주차가 너무 힘들어요 ㅠㅠ 접기"
5.0,2025.04.26,주차참조요. 2025.4 버전
5.0,2025.04.20,"역시 성심당은 여전히 맛 좋고, 가격이 착해요.
오늘은 부활절이라고 계산할 때 계란도 챙겨줬어요.
일요일 오전 10시 45분쯤 도착했어요.
맞은편 국민은행 건물 주차장 입구에서부터 줄 세우더
라고요.
1시간 이상걸리겠구나 했는데 생각보다 줄이 금방 줄어들어서 바깥에서 20분 기다리고 빵 구입했어요.
 접기"
5.0,2025.04.20,"역시 성심당은 여전히 맛 좋고, 가격이 착해요.
오늘은 부활절이라고 계산할 때 계란도 챙겨줬어요.
일요... 더보기"
